"","Group.1","K1","K2","K3","K4","K5","K6","K7","K8","x"
"84","Tunisia_4",0,0,0.032154300680728,0.0175316967423768,0.0341750730879492,0,0.00933878521007952,0,6
"85","Tunisia_5",NA,NA,NA,NA,NA,NA,NA,NA,1
"86","Tunisia_6",NA,NA,NA,NA,NA,NA,NA,NA,1
"87","Tunisia_7",0,0,0.00521954707653936,0.00996869585462938,0.00879179872680395,0,8.94427190999916e-07,0,20
"88","Tunisia_8",0,0,0.0862966545952584,0.0411074003840346,0.0617199653461774,0,0,0,3
"89","Tunisia_9",0,0,0,0,0,0,0,0,11
"90","Turkey_0",0,0,0.00524673231640418,0,0.631149370751489,0.0508742115860285,0.575029133955837,0,2
"91","Unknown-Cultivar_1",NA,NA,NA,NA,NA,NA,NA,NA,1
"92","Unknown-Cultivar_2",0,0.0251949217204579,0,0.043977092042335,0,0,0.0691720137627928,0,2
"93","Unknown-Cultivar_3",NA,NA,NA,NA,NA,NA,NA,NA,1
"94","Unknown-Reference_0",NA,NA,NA,NA,NA,NA,NA,NA,1
"95","unknown_1",0.0370918680440875,0,0,0.178376984468288,0,0.0166201821991618,0.239379813910864,0.00729077919932659,3
"96","unknown_2",NA,NA,NA,NA,NA,NA,NA,NA,1
