"","Group.1","K1","K2","K3","K4","K5","K6","K7","K8","x"
"53","Malta_0",1e-05,1e-05,0.037647,0.020845,1e-05,0.22666,0.714807,1e-05,1
"54","Morocco_1",0.385738,0.086279,1e-05,1e-05,1e-05,1e-05,1e-05,0.527933,1
"55","Morocco_2",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1
"56","Morocco_3",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1
"57","Morocco_4",0.0383975,0.4867555,1e-05,0.128278,0.0043085,1e-05,0.041537,0.300703,2
"58","Morocco_5",0.097979,0.562182,1e-05,0.088802,0.030727,1e-05,0.047875,0.172415,1
"59","Morocco_6",1e-05,1e-05,0.033584,1e-05,1e-05,1e-05,1e-05,0.966356,1
"60","Morocco_7",1e-05,1e-05,1e-05,1.01666666666667e-05,1e-05,1e-05,1e-05,0.999929833333333,12
"61","Morocco_8",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1
"62","Morocco_9",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.465269,0.534671,1
"63","Portugal_1",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1
"64","Portugal_2",1e-05,0.9849,1e-05,1e-05,1e-05,1e-05,1e-05,0.01504,2
"65","Portugal_3",1e-05,0.149468,0.063758,0.04207,0.077543,0.216459,0.397195,0.053496,1
"66","Portugal_4",1e-05,0.549468,1e-05,1e-05,0.001023,1e-05,0.324184,0.125286,1
"67","Portugal_5",1e-05,0.197673,1e-05,1e-05,1e-05,0.127079,0.451788,0.22342,1
"68","Portugal_6",1e-05,0.403552,0.031308,1e-05,1e-05,0.229275,0.335826,1e-05,1
"69","Portugal_7",1e-05,0.488756666666667,1e-05,1e-05,1e-05,1e-05,0.00553866666666667,0.505654666666667,3
"70","Portugal_8",1e-05,0.702211,1e-05,1e-05,1e-05,1e-05,1e-05,0.297729,2
"71","Spain_1",1e-05,0.836055,1e-05,0.125222,1e-05,0.038673,1e-05,1e-05,1
"72","Spain_2",1e-05,0.407577,0.051424,1e-05,0.02802,0.170666,0.342284,1e-05,1
