ID,Pop,Country,Lat,Long,Elev,MajorComponent,K1,K2,K3,K4,K5,K6,K7,K8
HM003,ESP105-L,Spain,38.076,-3.816,329.648,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM120,ESP095-C,Spain,36.986,-2.914,914.415,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM117,ESP031-A,Spain,37.5,-1.991,706.311,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM056,ESP074-A,Spain,41.121,0.988,139.675,K8.2,0.00001,0.836055,0.00001,0.125222,0.00001,0.038673,0.00001,0.00001
HM150,SA22323,Syria,35.017,37.083,468.759,K8.7,0.00001,0.000012,0.00001,0.00001,0.00001,0.00001,0.999928,0.00001
HM001,SA22322,Syria,35.017,37.1,471.227,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM280,D1.2.3,Syria,NA,NA,NA,K8.7,0.00001,0.00001,0.00001,0.00001,0.076295,0.00001,0.923645,0.00001
HM016,SA09707,Tunisia,36,8,507.065,K8.4,0.00001,0.00001,0.001498,0.912034,0.086417,0.00001,0.00001,0.00001
HM073,SA09710,Tunisia,35.75,8.517,604.487,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM108,SA09715,Tunisia,35.75,8.517,604.487,K8.4,0.00001,0.00001,0.00001,0.834992,0.164948,0.00001,0.00001,0.00001
HM043,SA09944,Tunisia,35.567,8.667,982.411,K8.4,0.00001,0.00001,0.00001,0.999929,0.000011,0.00001,0.00001,0.00001
HM196,SA09970,Tunisia,35.083,8.667,832.03,K8.4,0.00001,0.00001,0.00001,0.960559,0.039381,0.00001,0.00001,0.00001
HM198,SA18543,Tunisia,35.567,8.667,982.411,K8.4,0.00001,0.00001,0.003819,0.994419,0.001712,0.00001,0.00001,0.00001
HM023,TN6.18,Tunisia,35.572298,8.670788,959.526,K8.7,0.00001,0.00001,0.00001,0.026715,0.340984,0.00001,0.632252,0.00001
HM213,TN7.11,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.00001,0.999926,0.00001,0.00001,0.000014,0.00001
HM214,TN7.13,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM215,TN7.17,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM217,TN7.19,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM218,TN7.2,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM219,TN7.20,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.080531,0.919409,0.00001,0.00001,0.00001,0.00001
HM220,TN7.22,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM221,TN7.23,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.156247,0.802179,0.041525,0.00001,0.00001,0.00001
HM222,TN7.4,Tunisia,36.17937986,8.714306347,691.258,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM025,TN9.22,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.082413,0.901436,0.016101,0.00001,0.00001,0.00001
HM232,TN9.12,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM233,TN9.15,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM234,TN9.17,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM235,TN9.20,Tunisia,36.55846886,8.755052126,160.602,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM236,TN9.21,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM237,TN9.24,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM238,TN9.5,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM244,TN9.3,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM245,TN9.4,Tunisia,36.55846886,8.755052126,160.602,K8.4,0.00001,0.00001,0.058756,0.941184,0.00001,0.00001,0.00001,0.00001
HM310,PI535651SSD,Tunisia,35.853526,9.1747,973.778,K8.4,0.00001,0.00001,0.023241,0.976699,0.00001,0.00001,0.00001,0.00001
HM106,SA09434,Tunisia,35.833,9.2,883.597,K8.4,0.00001,0.00001,0.02533,0.94781,0.004419,0.00001,0.022401,0.00001
HM076,SA23859,Tunisia,36.417,9.25,352.072,K8.4,0.00001,0.00001,0.063098,0.925885,0.00001,0.00001,0.010967,0.00001
HM194,SA09700,Tunisia,36.35,9.617,253.592,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM143,SA10481,Tunisia,36.833,10.217,1.217,K8.4,0.00001,0.00001,0.141641,0.753302,0.105007,0.00001,0.00001,0.00001
HM069,SA07749,Tunisia,36.217,10.283,186.752,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM192,SA07763,Tunisia,36.217,10.283,186.752,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM020,TN1.11,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.135592,0.094599,0.739736,0.00001,0.030032,0.00001
HM021,TN1.21,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.145856,0.035512,0.787484,0.00001,0.031109,0.00001
HM210,TN1.1,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM211,TN1.17,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM212,TN1.3,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM239,TN1.5,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM240,TN1.13,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM241,TN1.15,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM242,TN1.16,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM243,TN1.18,Tunisia,36.22480842,10.43751838,11.625,K8.5,0.00001,0.00001,0.191597,0.00001,0.808343,0.00001,0.00001,0.00001
HM024,TN8.3,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.254006,0.745934,0.00001,0.00001,0.00001,0.00001,0.00001
HM223,TN8.15,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM224,TN8.21,Tunisia,36.71139163,10.44676844,3.434,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM225,TN8.22,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.00001,0.622929,0.206443,0.08101,0.00001,0.089578,0.00001
HM226,TN8.23,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM227,TN8.24,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM228,TN8.25,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM229,TN8.28,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM230,TN8.4,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM231,TN8.5,Tunisia,36.71139163,10.44676844,3.434,K8.3,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001
HM141,SA09456,Tunisia,34.75,10.717,11.646,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM195,SA09728,Tunisia,34.75,10.717,11.646,K8.5,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001
HM145,SA19964,Turkey,37.883,28.5,73,K8.7,0.00001,0.00001,0.055117,0.00001,0.059663,0.071957,0.813224,0.00001
HM042,SA09119,Turkey,41.033,28.95,2.782,K8.5,0.00001,0.00001,0.047697,0.00001,0.952243,0.00001,0.00001,0.00001
HM256,PI442895SSD,unknown,NA,NA,NA,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM269,PI660470SSD,unknown,NA,NA,NA,K8.7,0.064255,0.00001,0.00001,0.308968,0.00001,0.028797,0.585312,0.012638
HM290,PI577640SSD,unknown,NA,NA,NA,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM316,PI660421SSD,unknown,NA,NA,NA,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM019,Borung,Unknown-Cultivar,NA,NA,NA,K8.4,0.00001,0.00001,0.098301,0.897759,0.003891,0.00001,0.00001,0.00001
HM207,Caliph,Unknown-Cultivar,NA,NA,NA,K8.7,0.00001,0.035641,0.00001,0.062203,0.00001,0.00001,0.902106,0.00001
HM208,Paraggio,Unknown-Cultivar,NA,NA,NA,K8.7,0.00001,0.00001,0.00001,0.019773,0.32636,0.00001,0.653817,0.00001
HM209,Sephi,Unknown-Cultivar,NA,NA,NA,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM101,A17_Varma,Unknown-Reference,NA,NA,NA,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
