ID,Pop,Country,Lat,Long,Elev,MajorComponent,K1,K2,K3,K4,K5,K6,K7,K8
HM004,DZA045-6,Algeria,36.923,7.736,72.775,K8.4,0.089584,0.00001,0.00001,0.802167,0.00001,0.049067,0.059142,0.00001
HM079,DZA045-4c,Algeria,36.923,7.736,72.775,K8.4,0.108694,0.00001,0.00001,0.886618,0.00001,0.004638,0.00001,0.00001
HM297,PI660447SSD,Algeria,36.42,7.79,338.176,K8.4,0.120541,0.00001,0.00001,0.879399,0.00001,0.00001,0.00001,0.00001
HM049,DZA058-5,Algeria,36.14,7.944,826.189,K8.4,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001
HM050,DZA058-J,Algeria,36.14,7.944,826.189,K8.4,0.00001,0.00001,0.012704,0.928511,0.058734,0.00001,0.00001,0.00001
HM162,DZA055-H,Algeria,36.005,8.112,522.006,K8.4,0.00001,0.00001,0.00001,0.8539,0.14604,0.00001,0.00001,0.00001
HM099,SA02840,Cyprus,35,33,694.319,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM157,SA28099,Cyprus,34.69,33,51.887,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM149,SA21819,Cyprus,34.7,33.05,53.063,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM199,SA19983,Cyprus,34.667,33.083,6.882,K8.3,0.00001,0.00001,0.426694,0.414761,0.158496,0.00001,0.00001,0.00001
HM002,SA28064,Cyprus,34.783,33.167,275.627,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM200,SA19998,Cyprus,34.733,33.167,96.084,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM156,SA28089,Cyprus,34.9,33.617,3.244,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM112,SA28097,Cyprus,NA,NA,500,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM115,Cyprus_C,Cyprus,NA,NA,NA,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM313,PI660408SSD,Cyprus,NA,NA,NA,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM059,F11012-A,France,43,2.44,719.633,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.893569,0.00001,0.106371
HM035,F66017,France,42.37,2.45,1491.34,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM015,F11013-3,France,43.09,2.52,215.413,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM182,F11013-A,France,43.09,2.52,215.413,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM007,Salses71B,France,42.49,2.56,1038.122,K8.6,0.00001,0.094617,0.00001,0.00001,0.00001,0.706953,0.065884,0.132506
HM013,Salses42B,France,42.49,2.56,1038.122,K8.8,0.095273,0.492409,0.00001,0.000016,0.000012,0.043014,0.00001,0.369256
HM026,F11008-C,France,42.55,2.56,1053.951,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM206,Salse57A,France,42.49,2.56,1038.122,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM159,arboretu,France,43.11,3,1.964,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM032,F11005-E,France,43.06,3.05,138.785,K8.8,0.104653,0.481693,0.00001,0.00001,0.00001,0.00001,0.00001,0.413604
HM131,F34042-D,France,43.4,3.46,17.745,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM006,F83005-5,France,43.33,6.14,374.343,K8.7,0.00001,0.00001,0.005154,0.005601,0.106365,0.381932,0.500919,0.00001
HM027,F83005-9,France,43.33,6.14,374.343,K8.6,0.00001,0.00001,0.00001,0.211758,0.00001,0.578975,0.209218,0.00001
HM097,F83005-G,France,43.33,6.14,374.343,K8.6,0.498772,0.00001,0.00001,0.00001,0.00001,0.419001,0.082178,0.00001
HM315,PI660387SSD,France,43.55,7,7.297,K8.7,0.00001,0.00001,0.282491,0.182254,0.10847,0.193635,0.23312,0.00001
HM278,PI577635SSD,France,43.7,7.26666667,7.723,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.7069,0.29304,0.00001
