"HM054","Algeria_8",0.216628,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.783312
"HM107","Algeria_4",0.170105,1e-05,1e-05,0.760176,0.061901,1e-05,1e-05,0.007778
"HM276","Algeria_3",0.488335,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.511605
"HM055","Algeria_3",0.440811,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.559129
"HM087","Algeria_3",0.420924,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.579016
"HM088","Algeria_3",0.414054,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.585886
"HM168","Algeria_3",0.424133,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.575807
"HM086","Algeria_8",0.321032,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.678908
"HM011","Algeria_3",0.432346,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.567594
"HM268","Algeria_2",1e-05,0.028412,1e-05,1e-05,1e-05,1e-05,0.971528,1e-05
"HM085","Algeria_8",0.358566,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.641374
"HM267","Algeria_4",0.150439,1e-05,1e-05,0.78772,1e-05,1e-05,1e-05,0.06179
"HM105","Algeria_5",1.5e-05,1e-05,1e-05,0.968387,0.031548,1e-05,1e-05,1e-05
"HM051","Algeria_3",0.418001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.581939
"HM081","Algeria_3",0.447733,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.552207
"HM277","Algeria_3",0.486422,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.513518
"HM005","Algeria_5",1e-05,1e-05,1e-05,0.996524,0.003416,1e-05,1e-05,1e-05
"HM164","Algeria_3",0.582308,1e-05,1e-05,0.029768,0.004393,1e-05,1e-05,0.38349
"HM295","Algeria_5",1e-05,1e-05,1e-05,0.994188,0.005752,1e-05,1e-05,1e-05
"HM052","Algeria_1",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"HM082","Algeria_1",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"HM083","Algeria_1",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"HM298","Algeria_1",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"HM266","Algeria_6",0.619113,1e-05,1e-05,0.380827,1e-05,1e-05,1e-05,1e-05
"HM067","Algeria_1",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"HM294","Algeria_1",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"HM008","Algeria_1",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"HM047","Algeria_1",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"HM048","Algeria_4",0.115562,1e-05,0.029819,0.854568,1e-05,1e-05,1e-05,1e-05
"HM165","Algeria_4",0.099406,1e-05,1e-05,0.838303,1e-05,0.060077,0.002174,1e-05
"HM014","Algeria_4",0.188888,1e-05,1e-05,0.811052,1e-05,1e-05,1e-05,1e-05
"HM161","Algeria_1",0.902957,1e-05,1e-05,0.096983,1e-05,1e-05,1e-05,1e-05
"HM028","Algeria_7",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05
"HM166","Algeria_5",1e-05,1e-05,1e-05,0.905537,0.094396,1.6e-05,1e-05,1e-05
"HM167","Algeria_5",1e-05,1e-05,0.00326,0.869242,0.127448,1e-05,1e-05,1e-05
"HM053","Algeria_5",1e-05,1.8e-05,1e-05,0.999921,1e-05,1e-05,1.1e-05,1e-05
"HM296","Algeria_4",0.13473,1e-05,1e-05,0.86521,1e-05,1e-05,1e-05,1e-05
"HM084","Algeria_5",1e-05,1e-05,1e-05,0.961181,0.038759,1e-05,1e-05,1e-05
"HM080","Algeria_4",0.109436,1e-05,1e-05,0.890504,1e-05,1e-05,1e-05,1e-05
"HM163","Algeria_4",0.092247,1e-05,1e-05,0.724671,1e-05,0.183033,1e-05,1e-05
